Boolean,Bagheri,Majidi,Kousheshi,avg Bagheri,avg Majidi,avg Kousheshi,AVG ALL
9a0424bdd12cdcdf45b556b0b9dcc6fc5a55520b,1,1,1,,,,
ab501860efbc893db4015e3f7c5d769024bf6069,,,,,,,
b15aad7b36794911404c0d69e1db77cd34c7d081,,,,,,,
3bdb88c5d5102ee2c9adc810de9a9244bb476790,,,,0.2,0.2,0.2,0.2
"q4 = ""Attention Interpretability""",,,,,,,
f7b032a4df721d4ed2bab97f6acd33d62477b7a5,1,1,1,,,,
3d4dfbdcb11d7b495e066435a9a98f02eb0cb369,1,1,1,,,,
8ed9254d93f540fdc922718fa4df47108f6f9df2,,1,1,,,,
e54f6751476ba07928b3f78c097150aa610acffc,1,1,1,,,,
f1e1ea1138d8d18f965b0e0cb5bacb150d4f115d,1,,,,,,
ef365cd88e3b5f547a35d93c9209a9c58782a8ee,1,1,1,,,,
cb0c40ab85ddff43e41aafabc90031c4140f31b2,,1,1,,,,
f0d6db2186d8bf2d8530f01de6c6518bb9711392,1,,1,,,,
2e46eac625e70261e43fa765c22a2828e5dd2659,,1,1,,,,
05f5f8b2065a520846d89771ebaea2bb1534e9c6,1,1,,0.7,0.8,0.8,0.76
"q5 = ""Structured nonconvex optimization""",,,,,,,
e66bd1ed59a5c8f5bbae616311e1743962e64daa,1,1,1,,,,
a1f45ffec06c07c469d405e827a3404362a0dda1,1,1,1,,,,
754c4fb745949f750c0406fbe9ab0911208c17b3,1,1,1,,,,
20e1bfa42a12e381c7194132fcb7458c8b053e63,,1,1,,,,
4d1a7ee63c4eefbc911e6e146d0838c0b8fcb975,1,1,1,,,,
1487dea7b2c6edbe2aa27ffb28d6370fdf21326a,1,1,1,,,,
3aa286bca8fab2b5cd58129ed7ba0a3bf5906570,,1,1,,,,
9de1b4026edf0769fbb7793350f4aeaae21e6676,,1,1,,,,
736d471fe0d8cae6ad68527d02a22452fc7931a6,1,,,,,,
6a590f081bd8552e42e200e09cda820ce640e63d,,,,,,,
"q6 = ""comprehensive characterization""",,,,,,,
882a5a8d9292406ebeec695bdad46c18ab69edea,1,1,1,,,,
7472a40d5ac4f2312bf98f001906774dd45960e6,1,1,1,,,,
f275494477754ca98bbe938cb68e17548fe8f27c,,1,1,,,,
e1cd9de563381dc528727813cec91bf6ea9c892e,1,1,1,,,,
08d82d573184da932fa9355c36449d9b27e4dd26,,1,1,,,,
5a7beae22ce9f60fb1556ea20f9582bc3eb2dbe4,1,1,1,,,,
935e6d11a84071b259ec5e1c33210239e6fdc7e1,1,1,1,,,,
6210c262dc363424635e6a0b5a0d05e895532e9e,,,,,,,
90e06ee9e10115f6f5118c917848aae39067e7ea,,1,1,,,,
470735385073e6b378717a886dcc8f1014e69e8a,,,,0.5,0.8,0.8,0.7
"q7 = ""Transfer Learning""",,,,,,,
29ddc1f43f28af7c846515e32cc167bc66886d0c,1,1,1,,,,
3cfb319689f06bf04c2e28399361f414ca32c4b3,1,1,1,,,,
347bac45298f37cd83c3e79d99b826dc65a70c46,1,1,1,,,,
157a7ae44613a1fcf34e2be8c1e19a4f6e3c50e3,1,1,1,,,,
6b2f425da3c8756ee777987b487526077b50a90e,1,1,1,,,,
b0ab8aa7a5b684532b4ff30f8d34b35a99759a46,1,1,1,,,,
bd5c48e0e6529febd27e497af33a059b0ddce101,1,1,1,,,,
40b3bebc595ca091b4ee654e12272ad9201c04dc,1,1,1,,,,
7b38c23d267649ca13df99bd3dbf846e1a95fd0d,1,1,1,,,,
cbf98ebe967e0f3f3236e7932f37013b98244e94,1,1,1,1,1,1,1
"q8 = ""michelle a. williams""",,,,,,,
77a096d80eb4dd4ccd103d1660c5a5498f7d026b,1,1,1,,,,
4e00843bc5f60d2b9116abc4320af6d184422291,1,1,1,,,,
4e00843bc5f60d2b9116abc4320af6d184422291,1,1,1,,,,
4e00843bc5f60d2b9116abc4320af6d184422291,1,1,1,,,,
4e00843bc5f60d2b9116abc4320af6d184422291,,,,,,,
4db125b4343a4fe2b102259587df22723c43a337,,,,,,,
4f308273e744bc9057a235019f5d09b0519cad0c,,,,,,,
63d8426ba1f51a8525dd19fd8ec92934ec71aea5,,,,,,,
63d8426ba1f51a8525dd19fd8ec92934ec71aea5,,,,,,,
9d332ad27bfce66ee725b413aa07bd93c355efdf,,,,1,1,1,1
"q9 = ""soroush vosoughi""",,,,,,,
63d8426ba1f51a8525dd19fd8ec92934ec71aea5,1,1,1,,,,
29df611eeb167fbeae3c58a4b7e38725b9b0aff6,1,1,1,,,,
8d26d4f850acb8cf4f17345ad1dee67ac318a3a1,1,1,1,,,,
1f0e1657063ea38cf225eaf1c1187ae7b2e4a0e0,,,,,,,
ff0b2681d7b05e16c46dfb71d980cc2f605907cd,,,,,,,
63d8426ba1f51a8525dd19fd8ec92934ec71aea5,,,,,,,
9d332ad27bfce66ee725b413aa07bd93c355efdf,,,,,,,
63d8426ba1f51a8525dd19fd8ec92934ec71aea5,,,,,,,
29df611eeb167fbeae3c58a4b7e38725b9b0aff6,,,,,,,
ff0b2681d7b05e16c46dfb71d980cc2f605907cd,,,,1,1,1,1
"q10 = ""mir h. ali""",1,1,1,,,,
7d4d45f164370c368f00f713dc4b1b2f810b2a01,1,1,1,,,,
be716f9ea2d22d2855ba06aa466c35ca23023172,,,,,,,
d47a682723f710395454687319bb55635e653105,,,,,,,
3e65f572322e192fe36ae52a8a7f025b0685dfc6,1,1,1,,,,
835ac3cbb41f2ec47718c5491211dd33b64f382b,,,,,,,
2bd2e082913c5366129622fbee1fe24f2dfa696f,,,,,,,
a1f7045dd66b01f46843592035a26ea407b48982,,,,,,,
d19b000d782ca90138a38bc7c882a992a99e38c8,,,,,,,
6e6825c2feada559592e49b093a06fc27214c6c0,,,,,,,
5b7929b7e1e74865683e3d1dc5bfd062ef1cab6b,,,,1,1,1,1
MEAN ALL ,,,,0.68,0.69,0.73,0.699
