word,freq,type
سبزه بیگانه,39,daily
جان جانی,39,love
تیر هوایی,39,daily
دل مجروح,39,love
آتش تیز,39,daily
سیب ذقن,39,love
روز افزون,38,daily
تیر کج,38,philosophy
آب سرد,38,daily
سخن تمام,38,philosophy
قرأ نافع,38,religion
اشک گرم,37,love
زار زار,37,love
خون روان,37,love
دل سنگین,37,love
جمله پیدا,37,philosophy
سنگ کم,37,others
پا گم,37,others
سر خوش,37,daily
سنگ فسان,37,others
قوه غضبیه,37,religion
دولت عالی,37,philosophy
سبک مغزی,37,philosophy
زاهد خشک,36,philosophy
بوی باز,35,love
نفس سرد,35,love
عالم روحانی,35,philosophy
لؤلؤ شهوار,34,love
نفس حسی,34,daily
باد بهاری,34,daily
عقل مخمور,34,philosophy
سر گران,34,philosophy
پرده باز,34,daily
سرو بلند,34,love
خبر باز,34,others
لذت حسی,33,daily
یار مهربان,33,love
بخت نیک,33,love
آب خوش,33,daily
گل تازه,33,daily
دل اهلی,33,love
تن آسان,32,daily
قراءت مکی,32,religion
نفس انسانی,32,philosophy
ساقی سرمست,32,love
یار فایز,31,love
کای نامور,31,others
دل دانا,31,philosophy
دل ویران,31,philosophy
روحه العزیز,31,religion
شب دراز,31,daily
خلق نیکو,31,philosophy
یاقوت سرخ,30,love
جشن نوروزی,30,daily
تیغ هندی,30,daily
دل شوریده,30,love
عین عیان,30,philosophy
امر معروف,30,religion
مردم خوار,29,others
روز نو,29,daily
شاه بلند,29,philosophy
دل غمگین,29,love
مغان مست,29,love
جهان روشن,29,philosophy
خوی نیکو,29,philosophy
طبیعت کلی,28,daily
گمان بد,28,daily
مجلس ملی,28,daily
تن درست,28,daily
جنگ جوی,28,philosophy
چشم خوشت,27,love
دل عرفی,27,love
بتوفیق خدایتعالی,27,religion
خدای مر,27,religion
دل سرگشته,27,love
کنج ویران,27,religion
دیو نر,27,others
ایطاء جلی,26,religion
حال طبیعی,26,daily
گل زرد,26,daily
دل حزین,26,love
رند سرمست,26,love
خون ریز,26,love
مرد دلیر,26,daily
عالم پدید,25,philosophy
عالم جسمی,25,philosophy
سنگ خارا,25,daily
کودک خرد,24,daily
اندازه بیش,24,others
روح حیوانی,24,philosophy
خال مشکین,24,love
آب حیاتی,24,daily
خون خوار,24,love
سر برهنه,24,love
دیدهٔ بینا,23,love
صفت خبیثه,23,religion
شکر شیرین,23,love
حضرت خداوندی,22,religion
شخص انسانی,22,philosophy
حارث محاسبی,22,religion
آواز خوش,22,love
رند مست,22,love
نظر باز,22,love
بلبل شیدا,21,love
دیر کهن,21,philosophy
سخن چینی,21,others
پور مرجانه,20,others
صورت شیرین,20,love
قصه کوته,20,daily
آب حیوانی,20,philosophy
عمر ضایع,19,daily
اخلاق حسنه,19,philosophy
رو ترش,19,daily
شبت خوش,19,daily
شریعت مقدسه,19,religion
بردف مفرد,19,others
شاءالله تعالی,18,religion
شیطان لعین,18,religion
مثنوی موسوم,18,daily
امام همام,18,religion
کار تنگ,18,others
سر جدا,18,others
لاله داغ,18,love
خانه خالی,18,daily
شاخ گلی,18,love
خون ریزی,18,daily
رخ خوب,18,love
سبزه زار,18,daily
نفس بهیمی,18,philosophy
سر مست,18,love
نور پاک,17,daily
هرا پاک,17,philosophy
یار عزیز,17,love
ره گم,17,philosophy
شب سیاه,17,daily
روی زیبا,17,love
عتبات عالیات,16,religion
امام صادق,16,religion
ایزد پاک,16,religion
قوه شهویه,16,religion
کنز خفی,16,others
حد فزون,16,philosophy
زلف معنبر,16,love
مهر درخشان,16,love
خون ناب,16,love
کینه جوی,16,daily
رزم آزمای,16,philosophy
خداوند پاک,15,religion
اشک روان,15,love
زخم درشت,15,love
بانگ بلند,15,daily
سبط نبی,15,religion
دین مبین,15,religion
مرد جوان,14,daily
کج رفتاری,14,philosophy
ابر سیه,14,love
دل خرم,14,daily
گردون دون,13,daily
پدر سوخته,13,others
کوی توام,13,love
خانه پر,13,daily
آهوی مشکین,13,love
بخت زبون,13,love
گل نو,13,love
دل آزرده,13,love
اسب تازی,13,daily
دل گرم,13,love
نامه سیاهی,13,daily
چشم سفید,13,daily
عمر گرامی,13,religion
اشک سرخ,13,love
آه آتشین,13,love
دست اجل,13,religion
سحر حلال,12,religion
تن آسانی,12,daily
عمر گرانمایه,12,philosophy
عشق فضولی,12,love
دل محزون,12,love
برگ گلی,12,daily
زمین پر,12,daily
عهد قدیم,12,daily
خانه خراب,12,daily
عصر حاضر,12,daily
عالم فانی,11,philosophy
زر سرخ,11,philosophy
ای قمری,11,love
راه کج,11,philosophy
مردم دانا,11,philosophy
سال نو,11,daily
آفاق پر,11,philosophy
نامه سیاه,11,daily
قانون اساسی,11,daily
طایر قدسی,11,philosophy
شمع روشن,11,daily
دل آواره,11,love
جان حزین,11,love
خانه روشن,11,daily
خلوت خاص,11,religion
عقل نخستین,11,philosophy
عشق توام,10,love
چشم حزین,10,love
گل بی‌خار,10,love
گل سیراب,10,daily
حالت زار,10,love
فردوس برین,10,religion
لشکر نامدار,10,philosophy
ره راست,10,philosophy
خانه ویران,10,daily
مه آباد,10,daily
میر اعظم,10,religion
شکست دستی,10,daily
خلق بد,10,philosophy
ست حزین,9,love
ساغر سرشار,9,love
طبیب خسته,9,philosophy
غیب مصون,9,philosophy
دیده روشن,9,philosophy
چشم بینا,9,philosophy
موی سپید,9,daily
دلی کو,9,daily
ای فانی,9,philosophy
چشم اشکبار,9,love
شکر ریز,9,love
چرخ پیر,9,daily
عصر نو,9,daily
غم آباد,9,love
حسین خسته,9,philosophy
طبیبی وطنی,8,philosophy
حاش لله,8,religion
جهان خراب,8,daily
مه روشن,8,daily
سرای کهن,8,daily
عید خرم,8,daily
ره دور,8,philosophy
خال سیه,8,love
دل مایل,8,love
سرشک سرخ,8,love
سرو بالا,8,love
خراب آباد,8,philosophy
جهان پیدا,8,daily
دامن پاک,7,philosophy
دل سوزان,7,love
دهقان پیر,7,daily
دست افشان,7,daily
یار جانی,7,love
سر خم,7,love
قفس تنگ,7,love
کلک مشتاق,7,philosophy
بهشت جاودان,6,religion
دهان پر,3,daily
نیوشهٔ نادان,2,others
باغ خرم,2,daily
عاشق کم,2,love
مصرع ساقط,2,others
جستن تازیانی,2,others
نبیذ روشن,2,others
سیب پژمرده,1,others
زمین خندان,1,daily
چندگاه بلند,1,others
زی توام,1,philosophy
خسرو نامور,1,philosophy
دشمنت غیشه,1,others
ابر گریان,1,daily
دریچهٔ رنگین,1,others
باد برین,1,others
تنش زرین,1,others
سرو سبز,1,love
اوت مانیده,1,others
مایه فرومایه,1,others
زهرهٔ ثامور,1,others
اولیاش پراکنده,1,others
بوسه رها,1,love
عیش نیک,1,daily
مهرش مبادا,1,love
خواجهٔ عدنانی,1,others
تنبل اوی,1,others
بشکندش پر,1,others
بنای محکم,1,others
ازان جعد,1,others
راهی آسان,1,others
زان چند,1,others
خشوک پنهان,1,others
مرده_نشود زنده,1,others
شبه سیاه,1,daily
مال غره,1,daily
گناه ساده,1,religion
آن کریم,1,religion
منقار باز,1,others
گنبد اخضر,1,religion
فغ سیمین,1,others
جعدی سیاه,1,love
بخوری بیش,1,others
دوستان یکدله,1,others
ماهروی مشکین,1,others
سمایی بد,1,others
شمشیر درآیی,1,others
کام روایی,1,love
کار خدایی,1,religion
ایزد جبار,1,religion
اندران میانه,1,others
چراغ تابان,1,others
روزگار دراز,1,daily
سان دیبا,1,others
خورشید روان,1,daily
حیران بدی,1,others
کنیزک نیکو,1,others
جمله پنهان,1,others
دیدار خوب,1,others
روی لطیف,1,love
خزانهٔ پر,1,others
زلفکان چابک,1,others
مردم سخندان,1,others
یافته شاهی,1,others
دریای روان,1,others
نبیذ غارچی,1,others
نیل دمنده,1,others
دین خردمند,1,religion
نسل فرزانه,1,others
میل فرزانه,1,others
کندز بلند,1,others
تنم آسوده,1,others
خسر ذل,1,others
کینه گزاری,1,others
پیل دمنده,1,others
باده خوش,1,daily
مایهٔ خوبی,1,others
موزهٔ چینی,1,others
سخن بیهده,1,others
دوست هرزه,1,daily
عشق خیره,1,love
زمین فرسوده,1,others
خون فسرده,1,love
شرنگ نوش,1,others
ایغده سری,1,others
رخ جوی,1,others
