word,freq,type
جهان رنگ,15,daily
کار ایران,15,daily
سیل اشک,15,love
اهل حق,15,religion
ازآن روزی,14,others
اهل جهان,14,daily
دم تیغ,14,daily
جام باده,14,philosophy
قدمش زیب,14,love
تاج رسالت,14,philosophy
خواجۀ عالم,14,religion
باد بهار,14,daily
اولوب دیر,14,religion
ملک جم,14,philosophy
شه مظفر,14,love
طرف چمن,14,daily
باغ جهان,14,daily
اهل هنر,14,daily
سوی پارس,14,daily
آه دل,13,love
پی دیدار,13,love
افسران سپاه,13,philosophy
لب بام,13,love
سردار سپه,13,philosophy
شاخ درخت,13,daily
شاهد بزم,13,daily
دل خاک,13,daily
ابر نیسان,13,daily
سینۀ سینا,13,daily
وادی عشق,13,love
شمع سان,13,love
لخت جگر,13,love
زهر غم,13,love
تنه ناها,12,others
لب جو,12,love
مرغان چمن,12,daily
شور قیامت,12,religion
لب یار,12,love
صف مژگان,12,love
شمع بزم,12,daily
شیشه دل,12,daily
درین وادی,12,philosophy
دامن کشان,12,love
تخت جم,12,philosophy
نقد دل,12,philosophy
اهل وفا,12,love
موج خیز,11,daily
جگر خون,11,love
لعل بدخشان,11,love
فاخته گون,4,love
سرای سپنج,3,daily
گردش خورشید,3,daily
مرد ادب,2,philosophy
اگرت بدره,2,others
بزرگوار خداوند,2,religion
دست چنگ,2,others
مدح امیری,2,religion
مردم تنهایی,2,others
زیر غن,2,others
دلم یرگس,2,love
بدر منیر,2,love
خودی نظر,2,love
جامهٔ خانه,2,others
جان عدو,2,others
جوین نان,2,others
خاتم مدح,2,love
زی ملوک,2,philosophy
شعر ورا,2,daily
عاشقان نشین,2,love
نام نیک,2,philosophy
مدح بندگانش,1,religion
گلبن هزارا,1,love
گردت هزارا,1,love
مزارم سوکوارا,1,love
شاهنشاهی آرد,1,love
پی نان,1,daily
میل سوی,1,others
بنفشه‌های طری,1,others
خیل خیل,1,others
آفتاب کش,1,daily
لب فرو,1,daily
دیوار خشت,1,daily
جان روان,1,love
هجر دوست,1,love
برگ یاسمین,1,daily
کوهی ارزنی,1,daily
آتش نشانی,1,daily
نا راه,1,daily
زین برزن,1,daily
ایا سوسن,1,daily
جویی وفا,1,love
جویی منی,1,love
خامش مردم,1,love
نگین ترا,1,love
حوالی سرخس,1,love
خواهم_زلفین عنبرین,1,religion
اثر میر,1,religion
لب گور,1,philosophy
زآهن درا,1,others
ابر اندرا,1,daily
شب عید,1,daily
گلشن عشق,1,love
بداد میر,1,others
میر ماکان,1,others
امیر فرمان,1,religion
وقت عصا,1,daily
اهل گیتی,1,philosophy
جهان بریدی,1,philosophy
خدنگ قهر,1,philosophy
وین فژه,1,others
چمن عقل,1,others
عشق را‌گر,1,love
نامور دهقان,1,others
طبع جدایی,1,love
قوت انسان,1,philosophy
نبود قوت,1,others
کار سمایی,1,daily
میران جهان,1,daily
زلفش بازار,1,love
دام طمع,1,love
تافته راهی,1,love
می‌و معشوق,1,love
آل سامان,1,daily
شاعر خراسان,1,daily
باژگونه جهان,1,daily
زلف چوگان,1,love
شگفت اندرا,1,others
نبود دندان,1,others
ستارهٔ سحری,1,daily
قطره باران,1,daily
قضای یزدان,1,religion
گرد گردان,1,daily
آیین گرد,1,religion
جای درد,1,love
حال بنده,1,religion
سان قطران,1,others
پیشکار میران,1,others
بیشمار درم,1,others
بیم زندان,1,others
گنج سخن,1,others
دلم نشاط,1,others
سان حریر,1,others
کردار سنگ,1,others
‌و سندان,1,others
سرود گویان,1,others
انس رادمردان,1,others
چه دندان,1,others
